사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201501,7호선,천왕,20,0,5473,651,11530,4602,34858,5565,38446,9405,20571,7016,13605,6112,11950,6149,12779,7973,11662,8661,10235,9761,9764,10708,10193,12840,12002,15090,12810,22140,8134,26725,5125,17241,4673,15955,3590,15004,1326,11031,200,3626,0,120,0,0,0,0,20151223
201501,7호선,철산,1,0,11156,2356,31671,8531,97960,16922,113769,34638,55824,30738,38067,22589,36325,24771,37073,29232,37911,32164,33928,32773,34377,36303,35692,42531,41309,53137,47338,91958,30365,104202,25072,63004,26709,52221,25329,50185,12647,36253,1992,10951,0,0,0,0,0,0,20151223
201501,7호선,청담,31,1,5111,3613,10781,23922,18329,68074,23659,199043,19939,131513,18131,48252,21535,34994,25985,30496,28589,32637,30964,31246,39028,27979,43270,27970,57918,30584,121370,35588,99193,29936,55703,18554,51536,17434,40847,15328,14050,11252,1687,5085,0,0,0,0,0,0,20151223
201501,7호선,춘의,3,0,3226,659,7567,4378,18667,22089,20054,44148,11449,12284,8350,6521,8307,5829,9229,6171,9570,6916,8910,6952,8367,7079,9361,8392,17908,10260,30832,14655,16569,16668,12309,12231,12433,10043,5345,9759,2408,7562,387,2568,0,0,0,0,0,0,20151223
201501,7호선,태릉입구,54,0,5785,1183,7033,6502,19951,7645,25346,20343,16777,12447,12135,8682,12398,8445,13103,9518,13707,9530,13053,10073,13247,10842,14695,12468,17856,14404,20098,19350,13293,20888,9752,14692,9072,13606,7588,13526,3947,9614,625,4286,7,1693,0,0,0,0,20151223
201501,7호선,하계,10,1,7981,1527,25300,6666,75739,13171,81026,27837,45288,23645,35239,19373,32726,20806,35644,28189,33146,29576,32187,29996,33291,32445,36234,36445,37102,40695,35789,57745,23463,66849,18577,44951,17003,37696,17152,38057,6115,26604,926,9124,0,0,0,0,0,0,20151223
201501,7호선,학동,0,0,3708,2111,6989,20448,10327,55765,15677,222211,14806,143853,14943,55803,18211,37902,22998,31728,29105,35263,34704,31408,41290,27700,42147,26852,56803,26531,155873,28541,101876,22498,55063,14730,55050,11366,43151,9167,17396,7373,2432,2495,1,0,0,0,0,0,20151223
201501,8호선,가락시장,14,0,1942,1810,3859,5863,8644,11341,11795,39664,9757,16765,9110,10560,10258,10795,10452,10455,11019,11684,11400,11707,12582,11484,13561,12116,15580,12451,25303,17740,13445,14694,9560,10651,10027,8930,8797,7620,4773,5267,847,2531,6,534,0,0,0,0,20151223
201501,8호선,강동구청,0,0,4238,1154,10137,5053,31803,13029,44326,41898,23879,17055,16527,12531,16392,10970,16122,12786,17481,14253,15927,15692,16613,16061,16105,19583,19977,22709,32082,32906,15694,32409,11309,20095,10215,18228,7145,18549,2849,10279,367,3547,0,0,0,0,0,0,20151223
201501,8호선,남한산성입구,4,0,9488,1005,20323,5194,55540,13159,72123,25882,37907,14935,24007,11442,21581,10617,23011,12780,21404,14461,18595,14620,17188,18314,17595,22602,19718,25088,27397,40048,14578,40989,9656,28062,7627,27415,5098,28390,2293,18186,292,5214,0,32,0,0,0,0,20151223
201501,8호선,단대오거리,1,0,8349,1587,17549,5245,47073,11848,58925,23069,31527,12640,20285,9429,19086,9592,20634,12029,20098,12375,17351,13907,15810,15987,16965,20837,17355,24743,24989,39318,16321,40468,10577,29654,8725,25908,6296,26278,2912,18444,569,5159,2,111,0,0,0,0,20151223
201501,8호선,모란,0,0,2090,199,2597,2315,7010,4741,9022,7525,6029,5890,5666,4963,7149,6294,8584,6454,10038,7474,10403,7358,10874,7202,11498,6796,11503,7057,11933,8522,8101,6916,5696,4494,5766,3786,5103,3562,2954,2285,697,1335,3,411,0,0,0,0,20151223
201501,8호선,몽촌토성,0,0,1404,975,4480,3530,10013,10221,14990,34768,9960,14970,8365,10159,8467,10880,9566,10095,10830,10796,10765,10554,11680,10307,12459,10891,14472,12546,26019,16470,13993,14147,10195,9077,9799,7490,8295,8297,3340,4492,371,1723,0,0,0,0,0,0,20151223
201501,8호선,문정,0,0,1613,1082,4338,8889,13282,7735,19301,19098,11069,9402,7596,5929,7148,5805,7981,5886,8739,6527,8449,6557,7679,7647,9170,8524,14558,10183,17024,13210,9012,13478,6306,9013,6397,7929,6269,8318,2020,4868,294,1556,0,0,0,0,0,0,20151223
201501,8호선,복정,1,0,1835,3312,5259,15002,15633,11074,23002,16770,11379,16284,8072,8242,8645,6534,9141,6102,9826,5612,10716,6234,11441,5598,13956,5994,21970,6689,27031,10079,14809,10951,8489,7101,6273,6408,4973,5827,2173,3377,290,1377,1,1,0,0,0,0,20151223
201501,8호선,산성,3,0,5527,1059,11502,3117,29299,3627,38511,6343,21911,6224,13194,6396,11707,6270,11855,6832,11602,7809,10335,8215,9429,10404,9283,13560,10299,16183,9504,24359,5461,25120,3944,17941,3224,17755,2275,17943,1114,11120,290,3452,0,22,0,0,0,0,20151223
201501,8호선,석촌,0,0,2965,839,7263,5107,23217,10105,34102,31770,18761,23437,13587,13544,14286,12121,15741,12407,16309,14286,14674,14632,15288,15066,16101,16314,18701,19048,27918,28092,16223,26973,10481,17647,11627,16460,9230,13899,3769,10597,482,3079,1,123,0,0,0,0,20151223
201501,8호선,송파,0,0,1574,784,4224,3379,11013,5542,16536,21017,10031,12081,7682,8106,7960,6032,9851,7703,9227,7838,8524,8092,9157,8498,9425,9252,10960,9735,17794,14191,9256,12454,5710,7991,5549,7435,4813,6886,1790,4722,238,1163,5,125,0,0,0,0,20151223
201501,8호선,수진,0,0,3416,470,6169,2074,13626,2854,19966,8038,12089,7495,8280,5887,8363,6380,9541,6617,9405,8661,8887,9499,8858,9223,9494,9654,10437,10280,9749,14210,6818,13796,5256,8689,4867,8464,3193,8416,1474,5350,161,1662,4,236,0,0,0,0,20151223
201501,8호선,신흥,12,0,4740,767,7992,2157,16499,2875,21174,5525,13363,5320,9192,5327,8625,5788,9022,7778,9106,9706,8440,11054,9082,10764,9907,13117,9925,13221,9261,18433,6519,18477,5546,12893,5164,11257,3855,10467,1887,7312,316,2075,2,281,0,0,0,0,20151223
201501,8호선,암사,3,0,11287,982,22801,5615,74702,8837,99358,20186,50834,16259,30487,11933,26610,13399,27857,15704,27230,18735,23184,19886,21812,25211,21879,28935,24017,35788,25884,57417,18215,60369,11812,38204,10903,37249,7531,33771,3435,25441,738,6256,4,1036,0,0,0,0,20151223
201501,8호선,잠실,19,0,1242,1466,2762,8509,6098,24328,8737,58215,7341,30858,7650,17830,9098,22962,11085,21214,14155,24015,16920,22896,22130,22571,23774,21145,30202,22239,47297,26287,32513,18706,29334,10446,25611,8258,19922,7039,8229,4366,1300,1691,2,35,0,0,0,0,20151223
