사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201803,2호선,영등포구청,56,3,6510,3032,14989,13652,47975,38663,52129,126214,35316,59434,27188,29547,28764,27395,30613,28971,32621,30963,31740,30329,34740,30842,38814,33735,49828,39090,108354,57404,48120,49801,33327,29394,33103,26874,26826,26251,11473,18265,1787,6597,5,259,2,3,0,0,20180403
201803,2호선,왕십리(성동구청),680,7,8007,1246,12266,7819,33619,16602,53964,34450,34317,25596,23992,18772,24800,20044,29170,22175,31544,23804,30786,23348,32806,25574,42260,29713,48512,40560,54323,64020,38999,53130,36349,31046,41380,27388,42569,26975,28557,19869,4862,7973,3,152,0,0,0,0,20180403
201803,2호선,용답,2,0,2487,186,3608,1169,9839,1842,15184,4777,7013,6396,4852,4135,4164,2770,4828,3100,4909,3673,4320,3734,4565,4734,5842,6285,5736,6931,4592,10697,3003,8983,2161,5572,1622,6589,1082,6434,470,4212,84,1130,0,6,0,0,0,0,20180403
201803,2호선,용두(동대문구청),9,0,1146,158,1631,961,5507,2465,8476,6597,4382,3806,3583,3471,3908,3904,4310,4297,4857,5180,4908,4991,5432,5186,5562,5262,5491,5341,6939,7224,3243,6319,2492,3691,1909,3432,1437,3070,608,2236,91,548,0,3,2,2,0,0,20180403
201803,2호선,을지로3가,13,1,1136,2162,2910,16723,6307,68793,11972,157137,16730,84707,20562,42166,23405,32054,25403,28121,30423,31024,34624,28832,37413,25585,42963,25613,63581,25577,133293,28956,74851,18920,46048,10458,45490,9476,34110,8966,16769,6925,2961,1793,2,86,0,0,0,0,20180403
201803,2호선,을지로4가,6,0,880,1040,1774,12035,3378,23915,7118,80527,11022,46789,14086,27376,16083,26454,19495,24736,21566,23492,25857,22848,28674,20625,33298,18460,44498,15964,74211,14490,44097,9205,19412,5768,15025,5461,10963,5613,5014,4326,934,1252,0,33,0,0,0,0,20180403
201803,2호선,을지로입구,101,1,3490,3951,3678,40702,9971,136231,17910,336736,25884,164705,33754,91836,43910,99194,50338,80022,66655,82700,77075,74718,93279,72193,111468,71742,143194,73999,299477,83194,176617,55273,155728,30237,130671,24272,93559,21557,44103,13464,5158,5088,3,1062,1,0,0,0,20180403
201803,2호선,이대,17,0,3605,1442,7492,10252,20002,24758,28555,57465,21516,83284,18712,68326,24266,48347,40380,56848,45203,55235,42676,43637,53945,42487,65680,43126,79728,46958,76221,51758,51205,39702,42962,23674,47087,21668,32842,21716,11387,16163,1175,5365,1,88,0,0,0,0,20180403
201803,2호선,잠실(송파구청),87,2,14567,6156,56343,44780,152490,94681,221283,183452,158943,178929,107096,116009,107268,135204,115650,131914,131882,139466,132604,139019,147987,146892,169438,161664,211983,188293,287964,260087,208264,217191,185101,128389,161417,118734,129495,120108,46077,71775,5054,19417,5,400,0,0,0,0,20180403
201803,2호선,잠실나루,4,0,3277,1651,14994,10510,56798,24239,65891,44087,40496,31177,30844,23754,31121,21152,30418,24707,28164,26896,28163,25963,29576,26124,33402,27839,38021,32604,41707,47779,23847,45876,18359,28854,13837,27238,9243,28182,4113,17085,661,5825,1,100,0,0,0,0,20180403
